respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Las decisiones fueron influenciadas por…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12571629918,402496032,2021-04-13 10:40:45,2021-04-13 10:46:15,186.81.102.24,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,me enseño unas nuevas materias y métodos de estudios nuevos,#aprendiendoyviviendo,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,48,35,59,85,Felicidad,Con frecuencia,Innovación / creatividad,10,14 a 16 años,Bachiller,Mujer
12571628374,402496032,2021-04-13 10:39:12,2021-04-13 10:45:14,45.175.20.108,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Lo Importante De Escuchar ,#gracias,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,18,93,80,Esperanza,No se,Cómo resolver conflictos,9,14 a 16 años,Bachiller,Mujer
12571626267,402496032,2021-04-13 10:38:34,2021-04-13 10:44:23,191.95.144.128,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,me dio curiosidad aprender mas  temas ,#Aprendiendo_Mas,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,11,93,81,87,Felicidad,Con frecuencia,Lo que hago en mi tiempo libre,11,14 a 16 años,Bachiller,Hombre
12571623845,402496032,2021-04-13 10:27:44,2021-04-22 20:59:18,181.128.100.230,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te confundió,,,Me sentí confundido/no entendí nada,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,52,58,59,50,Tristeza,Con frecuencia,Relación con la familia,,8 a 10 años,Bachiller,Mujer
12571619819,402496032,2021-04-13 10:38:43,2021-04-13 10:42:17,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,"Cerrar el colegio para así hacer cumplir nuestros derechos,ya que no nos prestaban atención ",#derechosdelosestudiantes,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,89,93,17,23,Satisfacción/orgullo,Rara vez,Cómo resolver conflictos,11,14 a 16 años,Bachiller,Mujer
12571619527,402496032,2021-04-13 10:37:21,2021-04-13 10:43:33,191.95.34.95,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,La esperiencia es aprender cada dia mas,Aprender,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,8,0,0,100,Felicidad,Todo el tiempo,La forma cómo los profesores enseñan,,,,
12571616839,402496032,2021-04-13 10:31:31,2021-04-13 10:43:45,191.95.39.229,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te confundió,Me confundío porque algunos  temas se me dificultaba  y entendía  mejor presencial ,#regresemosaclasesp.,Me sentí confundido/no entendí nada,Conmigo mismo,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,0,50,100,100,no está seguro,Con frecuencia,Ninguna de las anteriores,10,14 a 16 años,Técnico,Mujer
12571613981,402496032,2021-04-13 10:32:27,2021-04-13 10:40:27,181.130.150.230,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,"Nada fuera de lo normal, solo que me gusta ir porque aprendo cosas que no sabia ",Volviendo al colegio ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,51,50,83,73,Felicidad,Rara vez,La forma cómo los profesores enseñan,11,17 a 19 años,Universitario,Hombre
12571605365,402496032,2021-04-13 10:23:40,2021-04-13 10:40:01,45.175.20.108,,,,,Sí,ANTIOQUIA,,te enseñó algo nuevo,En mi institución educativa avían dos profesores q. No esplicava nd Bn hasi q yo ymis compañeros quedamos con ganas de aprender y analizar bn todo y lo q paso fue q ablemos con la rectoría para q nos cambiaran ese profe etc.,Ambre de saber más ,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Hacer cosas,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,51,63,100,56,no está seguro,Rara vez,Cómo resolver conflictos,8,14 a 16 años,No se,Hombre
12571604126,402496032,2021-04-13 10:33:38,2021-04-13 10:37:41,200.122.211.251,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,,,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,32,100,100,Felicidad,Todo el tiempo,El trabajo en equipo,11,17 a 19 años,Bachiller,Mujer
12571594155,402496032,2021-04-13 10:25:07,2021-04-13 10:36:19,191.95.159.229,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Experiencia que todo cambió respecto a la cuarentena y me enseñó a valrar mas las cosas,#deregresoalcole,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,73,21,100,38,Esperanza,No se,El trabajo en equipo,5,11 a 13 años,Bachiller,Hombre
12571585422,402496032,2021-04-13 10:01:56,2021-04-13 10:32:12,200.122.195.113,,,,,No,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,"Nuevos compañeros, diferentes temas de aprendizaje",#mejora de aprendizaje,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,27,65,100,100,Tristeza,Con frecuencia,Cómo resolver conflictos,8,14 a 16 años,Bachiller,Mujer
12571572861,402496032,2021-04-13 10:12:45,2021-04-13 10:28:56,200.122.210.178,,,,,No,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,"Aprender mas sobre trabajos virtuales. Nos an enseñado muchos metodos para aprender, como manejar algunas aplicaciones para tareas o para convivir con los compañeros. (Llamadas)",El mundo de la virtualidad,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,65,35,75,50,Esperanza,Con frecuencia,Relación con los compañeros,10,14 a 16 años,Bachiller,Hombre
12571569752,402496032,2021-04-13 10:22:36,2021-04-13 10:27:45,190.250.33.171,,,,,No,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,"Algunos profesores no daban respectivas clases bien, solo mandaban las guías y no nos enseñaban más.",#aprendermas,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,53,83,16,50,no está seguro,Con frecuencia,La forma cómo los profesores enseñan,11,17 a 19 años,Bachiller,Mujer
12571567984,402496032,2021-04-13 10:18:04,2021-04-13 10:27:16,45.175.20.34,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,"Lo que me dio curiosidad, fueron los actos cívicos que realizan en la institución, donde se desarrollan actividades que nos permite demostrar y de cierta manera disfrutar de nuestros talentos. ",#disfrutarnuestros talentos ,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,50,50,100,Felicidad,No se,El trabajo en equipo,11,17 a 19 años,Bachiller,Mujer
12571546686,402496032,2021-04-13 10:13:04,2021-04-13 10:25:53,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Que todos salgamos a delante para una buena vida y un buen trabajo y el bachillerato.que yo quiero aprender mas y salir a delante,Terminar mi bachillerato con buenas notas ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,20,12,100,Felicidad,Todo el tiempo,Liderazgo,9,14 a 16 años,Bachiller,Mujer
12571544213,402496032,2021-04-13 10:13:16,2021-04-13 10:20:12,181.128.15.8,,,,,No,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Creo que aprendí a hacer más independiente en la hora de hacer mis tareas debido a la pandemia ,#aprender,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,22,21,92,25,Felicidad,Con frecuencia,Cómo resolver conflictos,10,14 a 16 años,Bachiller,Mujer
12571534898,402496032,2021-04-13 10:06:39,2021-04-13 10:17:16,181.132.253.198,,,,,Sí,ATLÁNTICO,IE. Rafael Uribe Uribe,te confundió,Nos empezaron a explicar varios temas nuevos los cuales no entendía ,#noentiendolostemas,Me sentí confundido/no entendí nada,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,89,55,52,58,Tristeza,Con frecuencia,La forma cómo los profesores enseñan,11,14 a 16 años,Bachiller,Mujer
12571534101,402496032,2021-04-13 10:13:23,2021-04-13 10:17:00,181.132.203.52,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,J,#,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,100,100,51,100,Felicidad,Una vez,La forma cómo los profesores enseñan,11,14 a 16 años,Bachiller,Hombre
12571532122,402496032,2021-04-13 10:09:21,2021-04-13 10:17:14,181.134.233.51,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te confundió,Estuve muy confundida y triste por que a mi me gusta mucho estudiar normal,#quieroestudiarpresencial,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,87,46,26,43,Esperanza,Todo el tiempo,Ninguna de las anteriores,6,11 a 13 años,Técnico,Mujer
12571525692,402496032,2021-04-13 09:55:53,2021-04-13 10:15:09,181.128.21.128,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Tener y conocer temas nuevos. Ya que en los temas que vimos el año pasado no se me dieron nuevos si no que los repentian,Motivación,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,0,62,50,0,Satisfacción/orgullo,Rara vez,La forma cómo los profesores enseñan,10,14 a 16 años,Bachiller,Hombre
12571515124,402496032,2021-04-13 10:08:55,2021-04-13 10:11:55,191.95.156.135,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,No sé ,,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,60,50,53,50,Esperanza,Con frecuencia,Liderazgo,8,14 a 16 años,Bachiller,Mujer
12571506542,402496032,2021-04-13 10:00:31,2021-04-13 10:09:05,181.129.49.210,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,,,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,1,91,78,8,no está seguro,Con frecuencia,Ninguna de las anteriores,8,11 a 13 años,Bachiller,Hombre
12571500893,402496032,2021-04-13 10:00:09,2021-04-13 10:07:21,181.134.134.106,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Compartir con nuevos compañeros ,Nuevo comienzo,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,80,80,50,50,Felicidad,Rara vez,Relación con los compañeros,11,17 a 19 años,Bachiller,Mujer
12571497831,402496032,2021-04-13 09:58:44,2021-04-13 10:06:32,190.157.49.50,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,Me quite la intriga que me dejo el tema estudiandolo mas,,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,60,65,50,80,Satisfacción/orgullo,Rara vez,El trabajo en equipo,11,17 a 19 años,No se,Hombre
12571493359,402496032,2021-04-13 09:59:04,2021-04-13 10:06:07,181.128.109.220,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Cuando llegue nueva al colegio ,#nuevaalumna,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,0,100,100,Felicidad,No se,El trabajo en equipo,8,11 a 13 años,Bachiller,Mujer
12571493179,402496032,2021-04-13 09:57:25,2021-04-13 10:05:19,191.95.155.84,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Muchas cosas me han enseñado,#Aprender,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,72,100,100,100,Felicidad,No se,Cómo resolver conflictos,8,14 a 16 años,Bachiller,Mujer
12571488869,402496032,2021-04-13 09:57:56,2021-04-13 10:04:07,181.58.38.210,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Que hay temas nuevos por aprender y me gustaría saber muchas cosas para poder estar bien informado de todos esos temas ,#aprendo más ,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,45,50,40,50,Satisfacción/orgullo,Con frecuencia,La forma cómo los profesores enseñan,10,17 a 19 años,Bachiller,Hombre
12571484517,402496032,2021-04-13 09:58:21,2021-04-13 10:03:12,191.95.144.127,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Q nos enseñó como cosas nuevas a experimentar muchas cosas,Un nuevo aprendizaje,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,98,51,62,100,Rabia,Rara vez,Cómo resolver conflictos,8,11 a 13 años,Bachiller,Mujer
12571482735,402496032,2021-04-13 09:09:51,2021-04-13 10:03:51,190.71.18.122,,,,,No,ANTIOQUIA,IE. La Avanzada,te confundió,El colegio virtual es un poco confuso por que ay beses que no entiendes lo que ases y lo que los profesores te esplican ,# la virtualidad ,Me sentí confundido/no entendí nada,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,32,87,13,no está seguro,Con frecuencia,Ninguna de las anteriores,8,11 a 13 años,No se,Mujer
12571478260,402496032,2021-04-13 09:55:51,2021-04-13 10:00:58,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,,,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,0,10,100,1,Felicidad,Con frecuencia,El trabajo en equipo,10,14 a 16 años,Bachiller,Hombre
12571476988,402496032,2021-04-13 09:52:01,2021-04-13 10:00:48,181.128.63.0,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,"Mi experiencia es del 2020 donde pasaron cosas inesperadas en el colegio, clases virtuales pero aunque eran cosas nuevas yo siempre estuve dispuesta a aprender ",#aprendiendo,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,49,51,94,90,Angustia/Miedo,Con frecuencia,Mi aporte a la humanidad/al mundo/a los demás,10,14 a 16 años,Postgrado,Mujer
12571472862,402496032,2021-04-13 09:42:01,2021-04-13 09:59:36,200.122.211.251,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,"Que antes era como un chiste esté virus y nunca pensamos que fuera a llegar hasta aqui, y lo cogimos como un chiste, sin saber lo grave que era en realidad y si iba a llegar",#virus,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,50,2,50,100,Tristeza,No se,Ninguna de las anteriores,8,11 a 13 años,No se,Mujer
12571465954,402496032,2021-04-13 09:36:24,2021-04-13 10:00:30,181.58.38.133,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te confundió,Que no puse atención a las esplicasiones del profesor  y me confundí con los temas,Hay que poner más atención y aprenderas más.,Me sentí confundido/no entendí nada,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,0,50,50,100,Tristeza,Rara vez,Lo que hago en las horas de clase,9,14 a 16 años,Bachiller,Hombre
12571460527,402496032,2021-04-13 09:49:03,2021-04-13 09:56:02,181.128.111.241,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo,Que ponía poca atención a las clases y no aprendía entonces desde que mi profesora me aconsejo he aprendido mas ,#aprendamoscosasnuevas,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,32,15,100,Satisfacción/orgullo,Rara vez,El trabajo en equipo,4,8 a 10 años,Bachiller,Hombre
12571459126,402496032,2021-04-13 09:36:04,2021-04-13 09:55:47,190.240.43.183,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,"cuando empezó la pandemia y nos toco encerrarnos en nuestras casas me dio mucha rabia ya que me gustaba estar con mis compañeros de clase y profesores, pero luego entendí que es para cuidarnos y cuidar a los demás  ",La pandemia ,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,51,86,90,1,Rabia,Con frecuencia,Ninguna de las anteriores,9,14 a 16 años,Técnico,Mujer
12571457929,402496032,2021-04-13 09:36:07,2021-04-13 09:55:31,190.240.18.125,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,"me dio curiosidad   la rebolucion industriar , las colonias  y la colonización ",es muy interesante la historia de los paices y el pasado ,Me dio curiosidad por saber más,Mi país/el mundo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,0,2,1,0,Satisfacción/orgullo,Rara vez,Lo que hago en mi tiempo libre,9,14 a 16 años,Técnico,Hombre
12571456053,402496032,2021-04-13 09:47:13,2021-04-13 09:54:37,179.12.108.28,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Me confundí porque me están enseñando muchas cosas a la vez y ps me estresaba,Emerson se confunde por exceso de enseñanza,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,38,0,100,81,Rabia,Con frecuencia,Lo que hago en las horas de clase,9,14 a 16 años,Bachiller,Hombre
12571454989,402496032,2021-04-13 09:36:02,2021-04-13 09:54:15,181.140.165.225,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,"Cuando el Covid 19 se volvió una pandemia estaba un poco feliz por que no teníamos que volver al colegio y estar un rato sin estudiar, pero después de un tiempo empecé a extrañar su gente, los profes, los amigos, etc. Esto me enseñó a valorar mas los que tengo antes de que sea demasiado tarde.",#VALORALOQUETIENES,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,80,70,50,1,Esperanza,Rara vez,Relación con los compañeros,9,14 a 16 años,No se,Hombre
12571454671,402496032,2021-04-13 09:48:36,2021-04-13 09:54:19,179.12.109.91,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Me enseñó muchas cosas que no había aprendido,Titulo,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,34,50,98,87,Felicidad,Con frecuencia,La forma como los profesores me evalúan,9,14 a 16 años,Universitario,Hombre
12571453101,402496032,2021-04-13 09:36:06,2021-04-13 09:58:04,179.12.111.186,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,yo lo haria haciendo un breve resume  de la caracteristicas explicarle                                          practica                                                                                 principales de cada  lectura y ademas tambien ,aprende algo nuevo de español,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,96,17,24,84,Felicidad,Una vez,La forma cómo los profesores enseñan,9,14 a 16 años,Bachiller,Mujer
12571452306,402496032,2021-04-13 09:48:36,2021-04-13 09:53:24,181.128.5.65,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,los debates de la ONU,#debate,Me dio curiosidad por saber más,Mi país/el mundo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,100,100,50,Satisfacción/orgullo,Con frecuencia,Innovación / creatividad,9,14 a 16 años,Universitario,Mujer
12571445795,402496032,2021-04-13 09:36:04,2021-04-13 09:51:56,181.58.38.106,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,Una experiencia que me gusto fue que hubo un concurso de dibujo en donde me toco competir contra los demás salones en el cual participe y gane una medalla ,APRENDIZAJE,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,80,85,50,95,Satisfacción/orgullo,Rara vez,Innovación / creatividad,9,14 a 16 años,No se,Hombre
12571444446,402496032,2021-04-13 09:40:44,2021-04-13 09:51:42,181.58.38.29,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Aprendí acerca de los procesos de independencia de las colonias americanas en el área de sociales,#historiadeamerica,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,50,25,50,100,no está seguro,Con frecuencia,La forma cómo los profesores enseñan,9,14 a 16 años,Postgrado,Hombre
12571443604,402496032,2021-04-13 09:47:24,2021-04-13 09:50:54,190.249.48.28,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Una manera diferente y divertida de hacer ejercicio ,#ejercicio ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Hacer cosas,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,25,2,100,Felicidad,Todo el tiempo,Lo que hago en mi tiempo libre,9,14 a 16 años,No se,Hombre
12571443496,402496032,2021-04-13 09:37:16,2021-04-13 09:50:54,190.240.17.153,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,"La nueva profesora de sociales daba clases muy buenas, me generaba querer aprender mas sobre la materia y sobre el tema que tratábamos ",La Profe de sociales ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,0,17,50,93,Felicidad,Rara vez,La forma cómo los profesores enseñan,9,14 a 16 años,Universitario,Mujer
12571440118,402496032,2021-04-13 09:38:52,2021-04-13 09:50:14,181.142.129.250,,,,,Sí,ANTIOQUIA,IE. Rafael Uribe Uribe,te enseñó algo nuevo,Me enseño que debo aprovechar al máximo los momentos.,#disfrutacadamomento,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,50,50,18,Rabia,Con frecuencia,Lo que hago en mi tiempo libre,11,14 a 16 años,Bachiller,Hombre
12571439963,402496032,2021-04-13 09:41:19,2021-04-13 09:50:23,181.128.100.122,,,,,No,ANTIOQUIA,IE. La Avanzada,te enseñó algo nuevo," Aun grupo de 5 nos tocaba hacer el aseo, ese día salíamos temprano pero por no escuchar a lo el profe nos estaba diciendo me fui del colegio sin hacer el aseo, al día siguiente me colocaron hacer el aseo una semana entera por haberme ido sin haber hecho el aseo ",#por prestar no atención ,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,85,100,100,20,no está seguro,Una vez,El trabajo en equipo,,,,
12571439917,402496032,2021-04-13 09:45:04,2021-04-13 09:49:40,45.175.20.130,,,,,Sí,ANTIOQUIA,IE. La Avanzada,te dio curiosidad por aprender más,Me dió curiosidad cuando hablaron de un tema que me llamó la atencion,#aprendemas,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,18,41,83,21,Esperanza,No se,Lo que hago en mi tiempo libre,8,11 a 13 años,Bachiller,Hombre
12571438883,402496032,2021-04-13 09:47:12,2021-04-13 09:50:05,190.240.151.158,,,,,No,ANTIOQUIA,IE. Rafael Uribe Uribe,te dio curiosidad por aprender más,.,#vamos,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,57,14,20,21,Indiferencia,Con frecuencia,Cómo resolver conflictos,11,17 a 19 años,Bachiller,Hombre
